04 August 2017 12:53:19
Time (ms),HR (bpm),R-R (ms)
-42,102,618
581,100,623
1203,100,622
1834,99,631
2458,99,624
3076,99,618
3702,98,626
4330,98,628
4959,98,629
5599,98,640
6243,97,644
6891,97,648
7535,97,644
8164,97,629
8796,97,632
9417,97,621
10049,96,632
10674,96,625
11274,96,600
11918,96,644
12540,96,622
13159,96,619
13780,96,621
14407,96,627
15019,97,612
15662,97,643
16309,97,647
16930,97,621
17522,97,592
18152,97,630
18775,97,623
19361,98,586
19937,98,576
20485,98,548
20960,98,475
21645,99,685
22214,99,569
22790,99,576
23396,101,606
24011,101,615
24494,102,483
25322,102,828
26106,102,784
26806,102,700
27065,102,259
27493,102,428
28160,102,667
28827,102,667
29483,102,656
30132,102,649
30758,102,626
31366,102,608
31964,102,598
32550,102,586
33124,102,574
33661,102,537
34252,102,591
34807,102,555
35362,102,555
35913,102,551
36439,102,526
37023,102,584
37583,104,560
38140,104,557
38692,107,552
39088,107,396
39594,109,506
40301,109,707
41236,110,935
42188,110,952
42775,110,587
43399,110,624
44026,110,627
44589,110,563
45167,110,578
45425,110,258
46721,109,1296
47108,109,387
47860,109,752
48156,109,296
48705,109,549
49261,109,556
49825,109,564
50385,109,560
50941,110,556
51494,110,553
52050,110,556
52593,110,543
53136,110,543
53678,110,542
54222,111,544
54521,111,299
54778,111,257
55362,111,584
55962,111,600
56586,111,624
57354,111,768
58081,111,727
58824,111,743
59542,111,718
60213,111,671
60865,111,652
61518,108,653
62150,105,632
62770,105,620
63379,100,609
63939,100,560
64531,99,592
65117,97,586
65672,97,555
66203,94,531
66787,94,584
67348,98,561
67909,98,561
68475,102,566
69052,102,577
69609,103,557
70213,106,604
70799,106,586
71129,106,330
71710,107,581
72517,108,807
72973,108,456
73337,108,364
73619,108,282
74182,108,563
74719,108,537
75258,108,539
75803,108,545
76252,108,449
76870,108,618
77263,108,393
77937,108,674
78442,110,505
78958,110,516
79304,110,346
79671,110,367
80015,110,344
80859,110,844
81454,110,595
82024,110,570
82566,110,542
83146,110,580
83702,111,556
84256,111,554
84805,110,549
85357,110,552
85915,110,558
86483,110,568
87070,110,587
87683,110,613
88307,110,624
89031,110,724
89735,108,704
90466,108,731
91148,108,682
91820,108,672
92479,108,659
93099,106,620
93754,102,655
94368,102,614
95036,99,668
95694,99,658
96334,97,640
97036,94,702
97701,94,665
98401,93,700
99114,92,713
99754,92,640
100440,92,686
101099,92,659
101743,92,644
102421,92,678
103095,91,674
103759,91,664
104416,91,657
105080,91,664
105765,91,685
106392,91,627
107055,91,663
107673,91,618
108322,92,649
108993,92,671
109652,92,659
110321,92,669
110970,92,649
111594,92,624
112245,93,651
112890,93,645
113491,93,601
114054,93,563
114643,94,589
115239,95,596
115806,95,567
116423,96,617
117038,96,615
117844,97,806
119019,98,1175
120017,98,998
120890,98,873
121663,98,773
122391,98,728
123095,98,704
123778,98,683
124433,98,655
125088,98,655
125742,98,654
126384,98,642
127011,98,627
127619,97,608
128223,97,604
128820,96,597
129407,96,587
129982,96,575
130546,96,564
131106,96,560
131661,97,555
132215,97,554
132766,101,551
133315,101,549
133859,104,544
134403,104,544
134924,106,521
135491,106,567
136036,109,545
136583,109,547
137138,110,555
137706,110,568
138271,111,565
138818,111,547
139429,111,611
140010,111,581
140647,111,637
141252,110,605
141862,109,610
142444,109,582
143042,107,598
143647,107,605
144225,105,578
144776,105,551
145369,104,593
