08 August 2017 18:51:01
Time (ms),HR (bpm),R-R (ms)
246,96,616
851,96,605
1440,96,589
2022,96,582
2601,95,579
3187,95,586
3795,95,608
4415,95,620
5043,95,628
5685,97,642
6334,99,649
6978,99,644
7612,100,634
8230,100,618
8839,100,609
9438,99,599
10020,99,582
10595,98,575
11151,98,556
11695,99,544
12233,99,538
12766,100,533
13289,100,523
13813,103,524
14331,103,518
14849,106,518
15373,106,524
15893,110,520
16417,110,524
16934,113,517
17461,113,527
17997,115,536
18543,115,546
19097,115,554
19662,116,565
20257,116,595
20873,115,616
21489,115,616
22115,114,626
22764,111,649
23393,111,629
24034,108,641
24629,108,595
25233,106,604
25819,103,586
26394,103,575
26984,101,590
27512,101,528
28055,100,543
28581,100,526
29113,102,532
29632,102,519
30158,104,526
30678,104,520
31210,108,532
31744,108,534
32286,111,542
32843,111,557
33410,112,567
33990,113,580
34607,113,617
35244,113,637
35862,113,618
36468,112,606
37073,110,605
37663,110,590
38239,107,576
38814,107,575
39393,104,579
39948,104,555
40485,103,537
41053,103,568
41633,103,580
42218,103,585
42808,103,590
43403,104,595
44014,104,611
44618,105,604
45223,105,605
45814,105,591
46396,105,582
46979,105,583
47572,104,593
48114,104,542
48672,104,558
49256,104,584
49806,104,550
50362,104,556
50918,104,556
51470,105,552
52007,105,537
52586,106,579
53141,106,555
53695,108,554
54248,108,553
54804,109,556
55358,109,554
55898,109,540
56457,109,559
57041,109,584
57597,110,556
58163,110,566
58688,110,525
59245,110,557
59817,110,572
60341,110,524
60878,110,537
61439,110,561
61975,110,536
62476,110,501
62998,111,522
63535,111,537
64052,112,517
64567,112,515
65086,113,519
65604,113,518
66128,114,524
66654,114,526
67185,115,531
67709,115,524
68248,116,539
68782,116,534
69310,116,528
69843,116,533
70370,116,527
70901,116,531
71421,116,520
71955,116,534
72476,116,521
73004,115,528
73538,115,534
74107,115,569
74632,115,525
75179,115,547
75723,115,544
76281,115,558
76824,115,543
77374,114,550
77911,114,537
78458,114,547
78991,113,533
79537,113,546
80077,112,540
80616,112,539
81157,112,541
81701,112,544
82253,112,552
82802,112,549
83361,112,559
83896,112,535
84438,112,542
84982,112,544
85512,112,530
86046,112,534
86586,112,540
87115,112,529
87624,112,509
88139,112,515
88652,113,513
89186,113,534
89693,114,507
90181,114,488
90687,115,506
91220,115,533
91702,117,482
92219,117,517
92728,118,509
93241,118,513
93752,119,511
94261,119,509
94772,120,511
95288,120,516
95803,120,515
96313,120,510
96821,120,508
97328,120,507
97839,120,511
98348,120,509
98872,120,524
99347,120,475
99842,120,495
100342,120,500
100836,120,494
101327,120,491
101813,121,486
102301,121,488
102816,122,515
103307,122,491
103773,122,466
104260,122,487
104754,123,494
105265,123,511
105732,124,467
106213,124,481
106701,124,488
107211,124,510
107675,125,464
108159,125,484
108644,125,485
109131,125,487
109619,125,488
110129,125,510
110620,125,491
111117,125,497
111613,125,496
112111,125,498
112596,125,485
113119,124,523
113628,124,509
114137,124,509
114624,124,487
115136,123,512
115644,123,508
116152,122,508
116658,122,506
117166,122,508
117668,122,502
118170,121,502
118675,121,505
119196,121,521
119679,121,483
120198,121,519
120676,121,478
121197,121,521
121677,121,480
122172,121,495
122669,121,497
123161,121,492
123659,121,498
124156,122,497
124654,122,498
125150,122,496
125655,122,505
126155,123,500
126655,123,500
127153,123,498
127678,123,525
128154,123,476
128672,123,518
129137,123,465
129650,122,513
130138,122,488
130604,122,466
131080,122,476
131562,123,482
132069,123,507
132547,124,478
132996,124,449
133475,125,479
133971,125,496
134419,126,448
134887,126,468
135348,127,461
135838,127,490
136274,127,436
136735,128,461
137187,128,452
137643,130,456
138100,130,457
138555,131,455
139028,131,473
139455,132,427
139905,132,450
140377,132,472
140804,133,427
141250,133,446
141690,134,440
142135,134,445
142581,135,446
143044,135,463
143465,135,421
143909,136,444
144350,136,441
144787,137,437
145251,137,464
145675,138,424
146109,138,434
146551,138,442
147014,138,463
147433,138,419
147896,138,463
148317,138,421
148760,138,443
149220,138,460
149661,138,441
150078,138,417
150516,138,438
150954,138,438
151417,138,463
151834,138,417
152267,138,433
152730,139,463
153148,139,418
153610,139,462
154026,139,416
154460,139,434
154902,139,442
155360,139,458
155772,139,412
156211,140,439
156669,140,458
157105,140,436
157519,140,414
157950,140,431
158382,140,432
158813,140,431
159252,140,439
159710,140,458
160147,140,437
160559,140,412
161011,140,452
161450,140,439
161885,140,435
162299,140,414
162729,140,430
163182,140,453
163613,140,431
164048,140,435
164455,140,407
164883,140,428
165334,141,451
165765,141,431
166171,141,406
166597,141,426
167025,141,428
167452,142,427
167874,142,422
168300,142,426
168726,142,426
169171,143,445
169596,143,425
169995,143,399
170419,143,424
170863,143,444
171285,143,422
171681,143,396
172123,143,442
172548,144,425
172948,144,400
173366,144,418
173810,144,444
174236,144,426
174656,144,420
175053,144,397
175493,145,440
175914,145,421
176312,145,398
176727,145,415
177143,145,416
177582,145,439
177978,145,396
178414,146,436
178808,146,394
179226,146,418
179642,146,416
180083,146,441
180475,147,392
180892,147,417
181307,147,415
181721,147,414
182153,147,432
182567,147,414
182983,147,416
183397,147,414
183790,147,393
184221,147,431
184617,147,396
185052,147,435
185445,147,393
185878,147,433
186296,147,418
186713,147,417
187108,147,395
187524,148,416
187943,148,419
188361,148,418
188798,147,437
189196,147,398
189632,147,436
190035,147,403
190475,147,440
190876,147,401
191299,147,423
191723,146,424
192147,146,424
192571,146,424
192994,146,423
193440,146,446
193847,145,407
194297,145,450
194703,144,406
195134,144,431
195585,144,451
195998,144,413
196429,144,431
196866,143,437
197306,143,440
197742,143,436
198182,142,440
198625,142,443
199094,142,469
199522,142,428
199970,141,448
200420,141,450
200892,139,472
201323,139,431
201777,139,454
202231,138,454
202680,138,449
203136,137,456
203605,137,469
204035,136,430
204500,136,465
204923,136,423
205384,136,461
205801,136,417
206241,136,440
206704,136,463
207141,136,437
207556,136,415
207994,136,438
208459,137,465
208899,137,440
209316,138,417
209757,138,441
210205,138,448
210667,138,462
211086,139,419
211557,139,471
211983,139,426
212452,138,469
212879,138,427
213353,138,474
213785,138,432
214256,137,471
214682,137,426
215134,137,452
215603,137,469
216055,137,452
216504,136,449
216934,136,430
217388,136,454
217850,136,462
218308,135,458
218787,135,479
219228,135,441
219698,135,470
220168,135,470
220630,134,462
221099,134,469
221588,134,489
222032,134,444
222493,133,461
222959,133,466
223445,132,486
223888,132,443
224353,132,465
224821,131,468
225288,131,467
225754,131,466
226222,131,468
226690,131,468
227163,131,473
227634,131,471
228110,131,476
228578,131,468
229052,131,474
229526,130,474
230019,130,493
230469,130,450
230962,130,493
231413,130,451
231907,130,494
232355,130,448
232828,129,473
233296,129,468
233760,129,464
234248,129,488
234688,130,440
235176,130,488
235639,130,463
236073,130,434
236528,130,455
237013,131,485
237468,131,455
237901,131,433
238384,131,483
238819,132,435
239271,132,452
239726,132,455
240186,133,460
240663,133,477
241091,133,428
241564,133,473
242021,134,457
242450,134,429
242894,134,444
243366,134,472
243793,134,427
244257,134,464
244701,134,444
245133,135,432
245598,135,465
246022,135,424
246492,135,470
246921,136,429
247368,136,447
247815,136,447
248282,136,467
248709,136,427
249159,137,450
249630,137,471
250084,136,454
250514,136,430
250967,136,453
251416,136,449
251866,136,450
252343,136,477
252775,136,432
253233,136,458
253687,136,454
254169,135,482
254630,135,461
255063,135,433
255523,135,460
255991,135,468
256472,134,481
256913,134,441
257382,134,469
257846,134,464
258319,133,473
258811,133,492
259257,132,446
259726,132,469
260194,132,468
260682,131,488
261150,131,468
261600,131,450
262071,131,471
262566,131,495
263019,131,453
263491,130,472
263967,130,476
264444,130,477
264923,130,479
265399,130,476
265876,130,477
266359,130,483
266835,129,476
267318,129,483
267805,129,487
268289,129,484
268775,128,486
269264,128,489
269754,127,490
270246,127,492
270735,127,489
271230,127,495
271723,126,493
272235,126,512
272711,125,476
273213,125,502
273710,125,497
274209,125,499
274703,124,494
275198,124,495
275695,123,497
276211,123,516
276685,123,474
277175,123,490
277684,123,509
278173,123,489
278638,123,465
279150,123,512
279611,123,461
280118,123,507
280577,123,459
281065,124,488
281569,124,504
282021,125,452
282508,125,487
283012,125,504
283468,125,456
283963,126,495
284421,126,458
284890,127,469
285362,127,472
285853,127,491
286319,127,466
286763,127,444
287228,128,465
287713,128,485
288177,129,464
288639,129,462
289079,130,440
289540,130,461
290007,131,467
290493,131,486
290931,131,438
291413,131,482
291840,131,427
292335,132,495
292776,132,441
293232,132,456
293689,132,457
294169,132,480
294621,132,452
295049,133,428
295520,133,471
295973,133,453
296417,133,444
296838,133,421
297290,134,452
297733,134,443
298200,135,467
298624,135,424
299096,135,472
299542,136,446
299985,136,443
300409,136,424
300880,136,471
301328,136,448
301775,136,447
302223,136,448
302649,136,426
303124,136,475
303578,136,454
304026,136,448
304458,136,432
304910,136,452
305385,136,475
305818,136,433
306268,136,450
306721,136,453
307188,136,467
307642,135,454
308069,135,427
308520,136,451
308967,136,447
309417,135,450
309866,135,449
310310,135,444
310782,136,472
311233,136,451
311678,136,445
312128,136,450
312548,136,420
312995,136,447
313434,136,439
313905,136,471
314330,136,425
314795,136,465
315221,136,426
315684,137,463
316136,137,452
316585,137,449
317034,137,449
317483,137,449
317935,137,452
318383,137,448
318834,137,451
319286,137,452
319737,136,451
320183,136,446
320637,136,454
321087,136,450
321517,136,430
321966,136,449
322438,136,472
322890,136,452
323343,136,453
323795,136,452
324227,136,432
324696,136,469
325151,136,455
325601,136,450
326052,136,451
326509,136,457
326968,135,459
327425,135,457
327885,135,460
328345,135,460
328809,135,464
329276,134,467
329743,134,467
330193,134,450
330682,134,489
331152,133,470
331619,133,467
332092,132,473
332558,132,466
333027,132,469
333500,132,473
333969,131,469
334438,131,469
334882,131,444
335352,131,470
335813,131,461
336299,131,486
336740,131,441
337207,131,467
337676,131,469
338167,131,491
338639,131,472
339112,131,473
339594,131,482
340074,131,480
340563,130,489
341039,130,476
341532,129,493
342042,129,510
342535,128,493
343026,128,491
343503,127,477
344003,127,500
344466,126,463
344948,126,482
345437,125,489
345914,125,477
346395,125,481
346877,125,482
347381,125,504
347845,125,464
348333,126,488
348827,126,494
349325,126,498
349838,126,513
350336,126,498
350837,126,501
351337,126,500
351838,125,501
352336,125,498
352814,124,478
353311,124,497
353825,123,514
354297,123,472
354786,123,489
355274,123,488
355754,123,480
356235,123,481
356715,124,480
357213,124,498
357686,124,473
358155,124,469
358622,125,467
359093,125,471
359561,127,468
360030,127,469
360496,127,466
360966,128,470
361433,128,467
361892,129,459
362359,129,467
362823,129,464
363284,129,461
363727,130,443
364211,130,484
364678,131,467
365142,131,464
365587,131,445
366077,131,490
366547,131,470
367015,131,468
367466,131,451
367957,131,491
368428,131,471
368877,131,449
369351,131,474
369840,130,489
370316,130,476
370792,130,476
371254,130,462
371751,130,497
372231,130,480
372712,130,481
373191,129,479
373677,129,486
374161,128,484
374645,128,484
375131,128,486
375621,128,490
376107,127,486
376568,127,461
377051,127,483
377540,127,489
378041,126,501
378505,126,464
379007,126,502
379487,126,480
379963,126,476
380440,126,477
380921,126,481
381397,126,476
381869,126,472
382336,126,467
382800,126,464
383263,127,463
383704,127,441
384164,129,460
384641,129,477
385105,129,464
385568,130,463
386004,130,436
386479,131,475
386916,131,437
387391,132,475
387817,132,426
388273,133,456
388743,133,470
389194,133,451
389642,134,448
390093,134,451
390542,134,449
390985,134,443
391409,135,424
391853,135,444
392316,135,463
392760,136,444
393206,136,446
393655,136,449
394081,136,426
394531,137,450
394986,137,455
395456,137,470
395909,137,453
396343,137,434
396800,137,457
397260,137,460
397717,136,457
398178,136,461
398638,136,460
399096,136,458
399551,135,455
400036,135,485
400494,135,458
400937,134,443
401400,134,463
401876,133,476
402340,133,464
402832,133,492
403288,133,456
403766,132,478
404239,132,473
404707,131,468
405175,131,468
405649,130,474
406133,130,484
406600,130,467
407047,130,447
407519,130,472
408008,130,489
408459,130,451
408931,130,472
409427,130,496
409903,130,476
410378,130,475
410830,130,452
411322,130,492
411793,129,471
412260,129,467
412715,129,455
413203,129,488
413670,129,467
414138,129,468
414610,129,472
415081,129,471
415554,129,473
416005,129,451
416500,129,495
416972,130,472
417441,130,469
417894,130,453
418383,130,489
418854,130,471
419301,130,447
419791,130,490
420259,130,468
420721,130,462
421165,130,444
421646,130,481
422104,131,458
422545,131,441
423000,131,455
423454,131,454
423904,131,450
424360,132,456
424835,132,475
425289,133,454
425743,133,454
426178,134,435
426650,134,472
427108,134,458
427543,134,435
428003,134,460
428483,134,480
428940,134,457
429397,134,457
429834,134,437
430308,134,474
430764,134,456
431216,134,452
431651,134,435
432128,134,477
432563,134,435
433016,134,453
433464,134,448
433915,134,451
434372,134,457
434839,134,467
435270,134,431
435738,135,468
436192,135,454
436619,135,427
437071,135,452
437548,135,477
438005,135,457
438460,135,455
438898,135,438
439376,135,478
439815,135,439
440275,135,460
440733,135,458
441219,135,486
441678,134,459
442141,134,463
442606,133,465
443071,133,465
443519,133,448
443985,133,466
444454,133,469
444927,132,473
445396,132,469
445871,132,475
446349,132,478
446826,131,477
447304,131,478
447787,131,483
448276,131,489
448789,130,513
449261,130,472
449777,129,516
450255,129,478
450760,127,505
451267,127,507
451775,126,508
452291,126,516
452805,124,514
453314,124,509
453827,123,513
454340,123,513
454852,122,512
455358,122,506
455862,121,504
456368,121,506
456877,120,509
457382,120,505
457890,120,508
458401,120,511
458916,120,515
459423,120,507
459929,120,506
460435,120,506
460938,120,503
461439,120,501
461937,120,498
462433,120,496
462924,120,491
463416,120,492
463909,120,493
464417,121,508
464903,121,486
465366,122,463
465839,122,473
466317,123,478
466789,123,472
467258,124,469
467753,124,495
468222,125,469
468667,125,445
469152,127,485
469624,127,472
470090,127,466
470530,128,440
471013,128,483
471473,129,460
471932,129,459
472366,130,434
472847,130,481
473306,131,459
473744,131,438
474204,131,460
474692,132,488
475157,132,465
475626,132,469
476079,132,453
476553,132,474
477032,132,479
477509,132,477
477986,132,477
478480,131,494
478930,131,450
479417,130,487
479862,130,445
480343,130,481
480803,130,460
481259,130,456
481719,129,460
482178,129,459
482635,130,457
483067,130,432
483536,131,469
483988,131,452
484440,131,452
484887,132,447
485313,132,426
485777,133,464
486223,133,446
486643,135,420
487089,135,446
487556,136,467
488000,136,444
488447,136,447
488876,137,429
489344,137,468
489796,137,452
490244,137,448
490678,137,434
491154,137,476
491612,137,458
492071,136,459
492512,136,441
492974,136,462
493439,136,465
493924,135,485
494372,135,448
494841,134,469
495335,134,494
495807,133,472
496259,133,452
496736,133,477
497207,132,471
497686,132,479
498163,131,477
498665,131,502
499140,130,475
499593,130,453
500066,129,473
500536,129,470
501030,129,494
501486,129,456
501979,128,493
502440,128,461
502937,128,497
503418,128,481
503880,128,462
504364,128,484
504848,128,484
